cost/projected_total_usd,_step,cost/per_hour,cost/spent_usd,_runtime,cost/budget_pct_used,cost/hours_elapsed,_timestamp,train/global_step,train/entropy,train/mean_token_accuracy,train/num_tokens,train/loss,train/grad_norm,train/learning_rate,train/epoch,eval/loss,eval/entropy,eval/num_tokens,eval/steps_per_second,eval/samples_per_second,eval/mean_token_accuracy,eval/runtime
256.56306495269143,1,3.0,0.012582788864771526,24.232181088,12.828153247634571,0.004194262954923842,1778062343.0703623,0,,,,,,,,,,,,,,
204.65706688960393,2,3.0,0.02007425864537557,33.637493056,10.232853344480196,0.006691419548458523,1778062352.0600333,0,,,,,,,,,,,,,,
189.70934200618004,3,3.0,0.02791211505730947,43.30719903,9.485467100309002,0.00930403835243649,1778062361.4654627,0,,,,,,,,,,,,,,
183.35611198991538,4,3.0,0.035969811081886294,53.435093023,9.167805599495768,0.01198993702729543,1778062371.1346998,0,,,,,,,,,,,,,,
181.1042297375202,5,3.0,0.044410061240196225,62.895502054,9.055211486876011,0.014803353746732075,1778062381.2630012,0,,,,,,,,,,,,,,
177.71166818274395,6,3.0,0.05229377190272014,72.523818415,8.885583409137197,0.01743125730090671,1778062390.7234502,0,,,,,,,,,,,,,,
175.69556054955436,7,3.0,0.060317259629567466,81.25593819,8.784778027477717,0.02010575320985582,1778062400.3516414,0,,,,,,,,,,,,,,
172.28053336714703,8,3.0,0.06759412785371144,90.926039766,8.614026668357353,0.022531375951237147,1778062409.08388,0,,,,,,,,,,,,,,
171.3950969455419,9,3.0,0.07565256853898367,100.557388868,8.569754847277094,0.02521752284632789,1778062418.7540085,0,,,,,,,,,,,,,,
170.62078570504985,10,3.0,0.08367865900198619,100.558438449,8.531039285252493,0.027892886333995396,1778062428.3863337,10,0.6686620108783246,0.5910284228622913,81400.0,3.651697540283203,6.99010705947876,8.823529411764707e-08,0.0004904364884747426,,,,,,,
168.91499371149322,11,3.0,0.09112628400325774,119.097341962,8.445749685574661,0.030375428001085916,1778062437.32247,10,,,,,,,,,,,,,,
168.43592263046241,12,3.0,0.09912854691346487,129.00788082,8.42179613152312,0.033042848971154955,1778062446.9251852,10,,,,,,,,,,,,,,
168.43293255964915,13,3.0,0.10738735278447469,138.414727713,8.421646627982458,0.03579578426149156,1778062456.835751,10,,,,,,,,,,,,,,
167.81901665457656,14,3.0,0.11522639691829681,147.635623987,8.390950832728828,0.038408798972765605,1778062466.2426078,10,,,,,,,,,,,,,,
167.07622808496157,15,3.0,0.12291041791439057,157.078239004,8.353811404248079,0.04097013930479686,1778062475.4634311,10,,,,,,,,,,,,,,
166.6618873183926,16,3.0,0.1307793132464091,166.56220773,8.33309436591963,0.0435931044154697,1778062484.9061036,10,,,,,,,,,,,,,,
166.33753540083478,17,3.0,0.13868259449799858,176.012643754,8.31687677004174,0.046227531499332855,1778062494.3900378,10,,,,,,,,,,,,,,
166.0176712670812,18,3.0,0.14655802269776663,185.57400344,8.300883563354061,0.04885267423258888,1778062503.8405755,10,,,,,,,,,,,,,,
165.83056509944433,19,3.0,0.15452578405539197,195.430032359,8.291528254972215,0.05150859468513065,1778062513.4018636,10,,,,,,,,,,,,,,
165.91251473814248,20,3.0,0.16273910224437713,195.43112038,8.295625736907125,0.05424636741479238,1778062523.2590766,20,0.6835540883243084,0.5823127910494804,162832.0,3.687865447998047,5.435354709625244,1.8627450980392158e-07,0.000980872976949485,,,,,,,
165.67122678312043,21,3.0,0.17062755088011422,214.780069118,8.283561339156021,0.05687585029337141,1778062532.7239854,20,,,,,,,,,,,,,,
165.77459918811465,22,3.0,0.17886420706907907,224.457452186,8.288729959405734,0.059621402356359696,1778062542.6080134,20,,,,,,,,,,,,,,
165.7162213060303,23,3.0,0.18692854781945548,233.631916942,8.285811065301514,0.06230951593981849,1778062552.285189,20,,,,,,,,,,,,,,
165.30683428645136,24,3.0,0.19457400798797608,243.300532163,8.265341714322568,0.06485800266265869,1778062561.4597452,20,,,,,,,,,,,,,,
165.26600717020034,25,3.0,0.2026312005519867,252.471995072,8.263300358510017,0.0675437335173289,1778062571.1283727,20,,,,,,,,,,,,,,
164.9034328303276,26,3.0,0.21027411739031474,262.557218374,8.24517164151638,0.07009137246343825,1778062580.2999067,20,,,,,,,,,,,,,,
165.1427505073724,27,3.0,0.2186784827709198,272.37351892,8.25713752536862,0.0728928275903066,1778062590.3851085,20,,,,,,,,,,,,,,
165.20177867242265,28,3.0,0.22685874462127684,281.324092945,8.260088933621134,0.07561958154042561,1778062600.2014205,20,,,,,,,,,,,,,,
164.74951851100758,29,3.0,0.2343176084756851,290.734671765,8.23747592555038,0.07810586949189503,1778062609.1520512,20,,,,,,,,,,,,,,
164.58783112996153,30,3.0,0.24215963383515676,290.735658917,8.229391556498076,0.08071987794505225,1778062618.5635803,30,0.7264411441981793,0.5602732405066491,244284.0,3.8536529541015625,7.062899589538574,2.843137254901961e-07,0.0014713094654242277,,,,,,,
164.3446387401191,31,3.0,0.24986188332239784,309.176888699,8.217231937005955,0.08328729444079928,1778062627.8051808,30,,,,,,,,,,,,,,
164.09370015325646,32,3.0,0.25752812186876933,318.847441248,8.204685007662823,0.08584270728958977,1778062637.00468,30,,,,,,,,,,,,,,
164.10049203218836,33,3.0,0.26558686792850494,327.959817519,8.205024601609416,0.08852895597616832,1778062646.6751707,30,,,,,,,,,,,,,,
163.82801467554242,34,3.0,0.27318060318628945,337.570303845,8.19140073377712,0.09106020106209649,1778062655.7876513,30,,,,,,,,,,,,,,
163.81289411221232,35,3.0,0.2811893719434738,347.409782347,8.190644705610616,0.0937297906478246,1778062665.3981752,30,,,,,,,,,,,,,,
163.90670321655494,36,3.0,0.28938898066679636,356.821841861,8.195335160827748,0.09646299355559879,1778062675.2377105,30,,,,,,,,,,,,,,
163.79911968541575,37,3.0,0.2972323407729467,365.99598185,8.189955984270787,0.09907744692431555,1778062684.6497304,30,,,,,,,,,,,,,,
163.5908523640089,38,3.0,0.3048775080839793,375.419261634,8.179542618200445,0.10162583602799309,1778062693.8239732,30,,,,,,,,,,,,,,
163.5017812453274,39,3.0,0.31273023386796317,384.866871351,8.17508906226637,0.10424341128932105,1778062703.24721,30,,,,,,,,,,,,,,
163.42743947262565,40,3.0,0.3206031181414922,384.867886455,8.171371973631283,0.10686770604716407,1778062712.6957638,40,0.6725513696670532,0.588008763641119,325634.0,3.6689395904541016,12.075160026550293,3.8235294117647064e-07,0.00196174595389897,,,,,,,
163.43962870477662,41,3.0,0.32864270607630414,403.926477938,8.17198143523883,0.10954756869210137,1778062722.3421745,40,,,,,,,,,,,,,,
163.3560308531163,42,3.0,0.33648618419965104,413.40334236,8.167801542655814,0.11216206139988369,1778062731.7543561,40,,,,,,,,,,,,,,
163.3019205463487,43,3.0,0.34438364803791044,422.785238379,8.165096027317436,0.11479454934597015,1778062741.2313309,40,,,,,,,,,,,,,,
163.21353563413476,44,3.0,0.35220184246699016,432.465213888,8.160676781706737,0.11740061415566339,1778062750.6131308,40,,,,,,,,,,,,,,
163.241665757453,45,3.0,0.3602685119708379,442.127538276,8.162083287872651,0.1200895039902793,1778062760.2931385,40,,,,,,,,,,,,,,
